node	contResp	contExp1	contExp2	contExp1NoVar	contRespNA	contExp1NA	contExp2NA	binFact	triFact	binFactNA	triFactNA	sppRichTaxa	sppRichTips
1	-6.59442627636898	0.680187065361272	-2.02144652334707	0.680187065361272	-6.59442627636898	0.680187065361272	-2.02144652334707	B	B	B	B	34	 1
2	-5.8767683034417	-1.73728723801396	-1.42610921592315	-1.73728723801396	-5.8767683034417	-1.73728723801396	-1.42610921592315	B	A	B	A	14	 1
3	-1.23745506783581	3.46983986761619	7.49277596025648	3.46983986761619	-1.23745506783581	3.46983986761619	7.49277596025648	B	C	B	C	37	 1
4	-7.17984537613508	0.388524473167468	0.504097004502914	0.388524473167468	-7.17984537613508	0.388524473167468	0.504097004502914	B	A	B	A	13	 1
5	-8.94521941391384	-5.69413227237723	-3.60667280390350	-5.69413227237723	-8.94521941391384	-5.69413227237723	-3.60667280390350	A	C	A	C	15	 1
6	-5.96913934867927	0.0345239662516671	-1.04801527507636	0.0345239662516671	-5.96913934867927	0.0345239662516671	-1.04801527507636	B	A	B	A	7	 1
7	-6.45507256785307	-1.01632597601611	-1.33845871059103	-1.01632597601611	-6.45507256785307	-1.01632597601611	-1.33845871059103	A	B	A	B	30	 1
8	-10.1893633222631	-2.36579504813346	-3.09096911097458	-2.36579504813346	-10.1893633222631	-2.36579504813346	-3.09096911097458	A	B	A	B	36	 1
9	-3.76224299180442	2.83017113697569	2.90135438854196	2.83017113697569	-3.76224299180442	2.83017113697569	2.90135438854196	A	B	A	B	2	 1
10	-3.66398671893893	5.18819314719031	-0.0523039345643219	5.18819314719031	-3.66398671893893	5.18819314719031	-0.0523039345643219	A	A	A	A	6	 1
11	-5.27613232789820	3.34869877146052	2.47159567654047	3.34869877146052	-5.27613232789820	3.34869877146052	2.47159567654047	A	B	A	B	53	 1
12	-8.80468926834605	0.861713365809874	0.477656375543484	0.861713365809874	-8.80468926834605	0.861713365809874	0.477656375543484	A	A	A	A	45	 1
13	-7.08719994965778	6.38725501296651	-2.78459235923691	6.38725501296651	-7.08719994965778	6.38725501296651	-2.78459235923691	A	B	A	B	5	 1
14	-2.74611111788709	5.38843500729171	-2.85767080160998	5.38843500729171	-2.74611111788709	5.38843500729171	-2.85767080160998	A	C	A	C	10	 1
15	-11.6218912443061	-0.374393370353882	-0.0357818178830412	-0.374393370353882	-11.6218912443061	-0.374393370353882	-0.0357818178830412	B	A	B	A	18	 1
16	-9.5644027564411	-1.45807814499307	-4.6937708499479	-1.45807814499307	-9.5644027564411	-1.45807814499307	NA	B	A	B	A	23	 1
17	-10.0885135172886	-5.37150660904928	-4.92807758417477	-5.37150660904928	-10.0885135172886	-5.37150660904928	-4.92807758417477	A	B	A	B	78	 1
18	-12.3613393892323	-3.00677856792731	-3.39660719807707	-3.00677856792731	-12.3613393892323	-3.00677856792731	-3.39660719807707	A	C	A	C	14	 1
19	-0.931866894310715	3.70683457727227	8.09089617757117	3.70683457727227	-0.931866894310715	3.70683457727227	NA	A	A	A	A	35	 1
20	-6.58666189740718	-0.232965445218444	5.22467081449454	-0.232965445218444	-6.58666189740718	-0.232965445218444	5.22467081449454	A	A	A	A	38	 1
21	-4.98063971612789	-2.9467584424533	-3.64313438138016	-2.9467584424533	-4.98063971612789	NA	-3.64313438138016	B	A	B	A	6	 1
