binomial	common_name	Red_list	Amber_list	Green_list	IUCN	Red_list_HD	Red_list_BDp	Red_list_BDr	Red_list_WDp	amb_HD	amb_BDp	amb_BDr	amb_WDMp	amb_spec	amb_BR	amb_BL	amb_WL	amb_BI	amb_WI	Red_amb_list	Red_amb_HD	Red_amb_BDp	Red_amb_BDr	pop_size	range_size
Acrocephalus.palustris	Marsh_warbler	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	27	15
Coccothraustes.coccothraustes	hawfinch	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	9500	315
Emberiza.calandra	Corn_bunting	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	20700	921
Locustella.naevia	Grasshopper_warbler	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	21000	1189
Luscinia.megarhynchos	rufous_nightingale	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	13400	457
Rallus.aquaticus	water_rail	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1350	420
Scolopax.rusticola	woodcock	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	17500	1204
Tetrao.tetrix	Black_grouse	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	13020	432
Turdus.torquatus	Ring_ouzel	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	13706	544
Tyto.alba	barn_owl	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	8000	1110
Accipiter.nisus	eurasian_sparrowhawk	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77200	2178
Acrocephalus.schoenobaenus	sedge_warbler	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594000	1887
Acrocephalus.scirpaceus	reed_warbler	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182800	790
Actitis.hypoleucos	common_sandpiper	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24000	1424
Aegithalos.caudatus	long_tailed_tit	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522000	2106
Alauda.arvensis	Skylark	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	3400000	2729
Alca.torda	razorbill	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	164492	233
Alcedo.atthis	common_kingfisher	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	11400	1224
Anas.acuta	pintail	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	44	85
